"","word"
"1","a"
"2","a's"
"3","able"
"4","about"
"5","above"
"6","according"
"7","accordingly"
"8","across"
"9","actually"
"10","after"
"11","afterwards"
"12","again"
"13","against"
"14","ain't"
"15","all"
"16","allow"
"17","allows"
"18","almost"
"19","alone"
"20","along"
"21","already"
"22","also"
"23","although"
"24","always"
"25","am"
"26","among"
"27","amongst"
"28","an"
"29","and"
"30","another"
"31","any"
"32","anybody"
"33","anyhow"
"34","anyone"
"35","anything"
"36","anyway"
"37","anyways"
"38","anywhere"
"39","apart"
"40","appear"
"41","appreciate"
"42","appropriate"
"43","are"
"44","aren't"
"45","around"
"46","as"
"47","aside"
"48","ask"
"49","asking"
"50","associated"
"51","at"
"52","available"
"53","away"
"54","awfully"
"55","b"
"56","be"
"57","became"
"58","because"
"59","become"
"60","becomes"
"61","becoming"
"62","been"
"63","before"
"64","beforehand"
"65","behind"
"66","being"
"67","believe"
"68","below"
"69","beside"
"70","besides"
"71","best"
"72","better"
"73","between"
"74","beyond"
"75","both"
"76","brief"
"77","but"
"78","by"
"79","c"
"80","c'mon"
"81","c's"
"82","came"
"83","can"
"84","can't"
"85","cannot"
"86","cant"
"87","cause"
"88","causes"
"89","certain"
"90","certainly"
"91","changes"
"92","clearly"
"93","co"
"94","com"
"95","come"
"96","comes"
"97","concerning"
"98","consequently"
"99","consider"
"100","considering"
"101","contain"
"102","containing"
"103","contains"
"104","corresponding"
"105","could"
"106","couldn't"
"107","course"
"108","currently"
"109","d"
"110","definitely"
"111","described"
"112","despite"
"113","did"
"114","didn't"
"115","different"
"116","do"
"117","does"
"118","doesn't"
"119","doing"
"120","don't"
"121","done"
"122","down"
"123","downwards"
"124","during"
"125","e"
"126","each"
"127","edu"
"128","eg"
"129","eight"
"130","either"
"131","else"
"132","elsewhere"
"133","enough"
"134","entirely"
"135","especially"
"136","et"
"137","etc"
"138","even"
"139","ever"
"140","every"
"141","everybody"
"142","everyone"
"143","everything"
"144","everywhere"
"145","ex"
"146","exactly"
"147","example"
"148","except"
"149","f"
"150","far"
"151","few"
"152","fifth"
"153","first"
"154","five"
"155","followed"
"156","following"
"157","follows"
"158","for"
"159","former"
"160","formerly"
"161","forth"
"162","four"
"163","from"
"164","further"
"165","furthermore"
"166","g"
"167","get"
"168","gets"
"169","getting"
"170","given"
"171","gives"
"172","go"
"173","goes"
"174","going"
"175","gone"
"176","got"
"177","gotten"
"178","greetings"
"179","h"
"180","had"
"181","hadn't"
"182","happens"
"183","hardly"
"184","has"
"185","hasn't"
"186","have"
"187","haven't"
"188","having"
"189","he"
"190","he's"
